date,xejVolatility,cloudCover
2020-09-17,90.19970703125,99
2020-09-18,85.0,81
2020-09-21,98.0,26
2020-09-22,160.89990234375,50
2020-09-23,139.89990234375,43
2020-09-24,162.89990234375,81
2020-09-25,119.5,53
2020-09-28,118.7001953125,64
2020-09-29,125.0,100
2020-09-30,279.7998046875,68
2020-10-01,104.19970703125,33
2020-10-02,265.2001953125,9
2020-10-05,291.7998046875,46
2020-10-06,162.0,39
2020-10-07,151.60009765625,98
2020-10-08,60.599609375,62
2020-10-09,96.7001953125,23
2020-10-12,101.2001953125,48
2020-10-13,90.7998046875,10
2020-10-14,97.0,40
2020-10-15,214.30029296875,91
2020-10-16,140.60009765625,91
2020-10-19,63.10009765625,6
2020-10-20,80.60009765625,61
2020-10-21,128.19970703125,29
2020-10-22,171.400390625,85
2020-10-23,95.2998046875,99
2020-10-26,95.2001953125,68
2020-10-27,230.89990234375,57
2020-10-28,91.5,13
2020-10-29,209.0,62
2020-10-30,117.89990234375,62
2020-11-02,99.10009765625,59
2020-11-03,370.0,61
2020-11-04,197.19970703125,76
2020-11-05,153.39990234375,68
2020-11-06,72.19970703125,76
2020-11-09,124.0,61
2020-11-10,593.69970703125,34
2020-11-11,366.7001953125,26
2020-11-12,120.10009765625,89
2020-11-13,182.89990234375,68
2020-11-16,120.2001953125,29
2020-11-17,281.5,16
2020-11-18,116.599609375,93
2020-11-19,131.2998046875,38
2020-11-20,133.7998046875,54
2020-11-23,231.10009765625,54
2020-11-24,264.599609375,54
2020-11-25,330.8994140625,0
2020-11-26,112.2001953125,29
2020-11-27,208.69970703125,73
2020-11-30,171.69970703125,48
2020-12-01,165.80029296875,58
2020-12-02,122.2998046875,32
2020-12-03,159.39990234375,1
2020-12-04,94.0,4
2020-12-07,183.8994140625,57
2020-12-08,143.400390625,47
2020-12-09,76.599609375,19
2020-12-10,104.5,51
2020-12-11,179.1005859375,71
2020-12-14,104.2998046875,77
2020-12-15,186.5,49
2020-12-16,136.89990234375,53
2020-12-17,194.89990234375,72
2020-12-18,169.80029296875,42
2020-12-21,154.19970703125,54
2020-12-22,261.10009765625,35
2020-12-23,136.30029296875,20
2020-12-24,177.19970703125,4
2020-12-29,150.599609375,18
2020-12-30,114.30029296875,85
2020-12-31,115.30029296875,21
2021-01-04,144.2001953125,83
2021-01-05,159.0,26
2021-01-06,270.599609375,19
2021-01-07,379.8994140625,0
2021-01-08,182.2001953125,0
2021-01-11,257.6005859375,71
2021-01-12,171.5,17
2021-01-13,380.5,43
2021-01-14,118.099609375,27
2021-01-15,181.0,65
2021-01-18,233.1005859375,3
2021-01-19,116.6005859375,3
2021-01-20,151.5,37
2021-01-21,154.5,12
2021-01-22,216.2001953125,11
2021-01-25,151.8994140625,69
2021-01-27,309.7001953125,42
2021-01-28,295.7001953125,96
2021-01-29,290.2001953125,23
2021-02-01,316.60009765625,44
2021-02-02,163.0,8
2021-02-03,234.7001953125,29
2021-02-04,211.900390625,95
2021-02-05,156.400390625,62
2021-02-08,103.0,21
2021-02-09,151.80078125,38
2021-02-10,107.400390625,24
2021-02-11,110.900390625,58
2021-02-12,140.7001953125,84
2021-02-15,170.8994140625,8
2021-02-16,220.099609375,48
2021-02-17,164.1005859375,28
2021-02-18,216.2001953125,0
2021-02-19,317.7998046875,45
2021-02-22,168.599609375,55
2021-02-23,409.2001953125,31
2021-02-24,162.19921875,51
2021-02-25,234.599609375,58
2021-02-26,211.0,52
2021-03-01,176.5,42
2021-03-02,201.400390625,87
2021-03-03,132.5,16
2021-03-04,184.400390625,6
2021-03-05,264.69921875,16
2021-03-08,162.8994140625,30
2021-03-09,94.2001953125,30
2021-03-10,257.5,97
2021-03-11,211.5,37
2021-03-12,202.2001953125,25
2021-03-15,109.7001953125,53
2021-03-16,111.2998046875,81
2021-03-17,172.5,9
2021-03-18,107.900390625,13
2021-03-19,276.69970703125,6
2021-03-22,220.0,52
2021-03-23,154.3994140625,18
2021-03-24,161.6005859375,65
2021-03-25,134.6005859375,58
2021-03-26,137.599609375,68
2021-03-29,162.0,4
2021-03-30,184.0,13
2021-03-31,151.099609375,4
2021-04-01,82.30078125,0
2021-04-06,122.2998046875,5
2021-04-07,128.0,0
2021-04-08,72.400390625,52
2021-04-09,111.0,49
2021-04-12,86.0,83
2021-04-13,75.6005859375,97
2021-04-14,133.7998046875,33
2021-04-15,143.5,45
