date,xejVolatility,cloudCover,viterbi_state_index,viterbi_state_label,posterior_low,posterior_normal,posterior_high,state_entropy
2022-06-14,605.5,42,2,High Volatility,7.328481264409772e-39,1.227935679298366e-06,0.9999987720646722,1.7940355418426794e-05
2022-06-15,273.900390625,69,2,High Volatility,1.7547982660085054e-10,0.07628021908429937,0.9237197807401305,0.26958901788153933
2022-06-16,209.3994140625,67,2,High Volatility,0.001515787274171717,0.12782403362849368,0.8706601790970913,0.3933766344205262
2022-06-17,290.900390625,21,2,High Volatility,1.3243119753326962e-06,0.11863089960989726,0.8813677760778144,0.36420733100072167
2022-06-20,552.400390625,78,2,High Volatility,1.4292610445475702e-30,3.878268499578345e-05,0.9999612173150192,0.0004327184780811098
2022-06-21,315.1005859375,78,2,High Volatility,5.189498258710778e-11,0.041286259354583625,0.9587137405937391,0.17201062575052795
2022-06-22,290.599609375,98,2,High Volatility,1.170910210299047e-06,0.11452954526783019,0.8854692838215202,0.355898914172311
2022-06-23,279.2001953125,86,2,High Volatility,1.0361160543430813e-05,0.20536030833071875,0.7946293305090913,0.5078710905254978
2022-06-24,235.2001953125,80,2,High Volatility,0.000848040341620538,0.3013368708781609,0.6978150887799277,0.6185340429144772
2022-06-27,280.0,33,2,High Volatility,1.837140901805603e-05,0.3457801575215901,0.6542014710693806,0.6450060922821543
2022-06-28,378.5,12,2,High Volatility,3.54448656771114e-11,0.30797812670119346,0.6920218732630224,0.617473358122274
2022-06-29,278.7998046875,83,2,High Volatility,2.6358858026833863e-05,0.3214942718357307,0.6784793693066588,0.6282847259264668
2022-06-30,242.2998046875,31,2,High Volatility,0.0005597714041866647,0.33974560552685884,0.6596946230685733,0.645385309619948
2022-07-01,343.19921875,62,2,High Volatility,7.126212916025206e-09,0.20577130258047296,0.7942286902936154,0.5082999389956019
2022-07-04,288.0,31,2,High Volatility,3.7934358376564957e-06,0.18875097586706122,0.8112452306968745,0.4844571404890671
2022-07-05,342.0,27,2,High Volatility,1.871576911124327e-09,0.09006899261019762,0.9099310055182402,0.30269745706431495
2022-07-06,557.599609375,21,2,High Volatility,1.3093991586567954e-29,0.0012011787598780028,0.9987988212398414,0.009277725855351816
2022-07-07,105.7001953125,59,0,Normal Volatility,0.0004788284964822949,0.4200606702431615,0.5794605012605113,0.6841895706655126
2022-07-08,313.900390625,36,0,Normal Volatility,1.309945138249877e-06,0.6781041698505992,0.32189452020448145,0.6283077997911353
2022-07-11,187.0,86,0,Normal Volatility,0.13262608500478046,0.7388950458601964,0.12847886913493048,0.7551607200564787
2022-07-12,139.099609375,59,0,Normal Volatility,0.3411549604154116,0.6016080287859038,0.057237010799025975,0.8363205539118665
2022-07-13,229.2001953125,33,0,Normal Volatility,0.02669051521593259,0.9495223165464673,0.023787168237945095,0.23482427975822076
2022-07-14,195.2998046875,19,0,Normal Volatility,0.10988049374471322,0.866618760717255,0.023500745537661176,0.4548624689437517
2022-07-15,158.7001953125,63,0,Normal Volatility,0.22855806603495846,0.6758338666772923,0.09560806728813405,0.8265805665944342
2022-07-18,227.2998046875,74,0,Normal Volatility,0.01099530919577722,0.7027821017904751,0.2862225890135682,0.6555294437225103
2022-07-19,412.5,94,0,Normal Volatility,8.102985950767654e-13,0.3610937123090945,0.6389062876901841,0.6540448828728906
2022-07-20,159.1005859375,48,0,Normal Volatility,0.07465918247582282,0.43446841939909703,0.49087239812531447,0.9052046527184949
2022-07-21,392.599609375,28,0,Normal Volatility,1.5054971735349395e-11,0.5218192037168793,0.4781807962676339,0.6921947231786483
2022-07-22,221.2001953125,99,0,Normal Volatility,0.02017388271119942,0.783434372188136,0.19639174510105922,0.589613132812913
2022-07-25,118.7001953125,57,0,Normal Volatility,0.3185816282158099,0.5906539756441137,0.09076439613983918,0.8932001877442678
2022-07-26,283.900390625,49,0,Normal Volatility,0.0005454623747752355,0.9658585747723951,0.033595962852489905,0.15165323492511681
2022-07-27,136.7998046875,77,1,Low Volatility,0.5675486795744725,0.41848115148875153,0.013970168936439912,0.7456888577119377
2022-07-28,162.7001953125,64,1,Low Volatility,0.6146583494284082,0.37937525366775443,0.00596639690408386,0.6974065081857991
2022-07-29,155.8994140625,55,1,Low Volatility,0.5642321697051116,0.4323810567938911,0.003386773500862814,0.7046967127854541
2022-08-01,211.2998046875,29,0,Normal Volatility,0.23147828260935394,0.7671333350152298,0.0013883823752558581,0.5512130145326061
